"";"X.genregroupe_Animation";"X.genregroupe_Documentaire";"X.genregroupe_Feuilleton";"X.genregroupe_Longmétrage";"X.genregroupe_Magazine";"X.genregroupe_Série";"X.genregroupe_Tranchehoraire"
"pomart";-1,8439;-1,1652;-0,1055;-0,0481;4,0873;-0,2007;-0,0129
"xavier";-1,229;-0,7766;3,3474;-0,0321;0,3339;-0,1337;1,7085
"rendre";-0,8713;0,3903;4,2321;-0,1381;-1,6263;2,7557;-0,037
"partie";-2,4592;1,9987;-0,1407;0,8621;0,2716;-0,2676;-0,0172
"partir";-1,5501;0,3715;0,4637;-0,0834;0,8178;0,2587;-0,0223
"marier";-1,0722;-0,5697;1,6297;-0,0481;1,0112;-0,2007;-0,0129
"joe";-1,8439;-1,1652;-0,1055;-0,0481;4,0873;-0,2007;-0,0129
"disciple";14,0238;-1,7873;-0,1618;-0,0738;-7,644;-0,3078;-0,0197
"préparer";-1,229;-0,3055;-0,0703;1,1476;1,0804;-0,1337;-0,0086
"mère";-1,229;-0,3055;1,9748;-0,0321;-0,5288;2,5486;-0,0086
"américain";-2,8765;2,4894;-0,2252;-0,1027;0,5077;-0,4284;-0,0275
"conquérant";15,8577;-2,0208;-0,183;-0,0834;-8,6428;-0,348;-0,0223
"val";-1,967;-1,2429;-0,1125;-0,0513;4,36;-0,214;-0,0137
"humain";-1,5824;3,8273;2,5091;-0,122;-3,2016;1,565;-0,0326
"courant";-1,4749;-0,932;-0,0844;-0,0385;3,2692;-0,1605;-0,0103
"décrire";-1,4749;0,216;-0,0844;-0,0385;1,4782;-0,1605;-0,0103
"fantôme";-1,3519;0,2528;-0,0774;-0,0353;1,2762;-0,1471;-0,0094
