"";"*anneedediff_1995";"*anneedediff_1996";"*anneedediff_1997";"*anneedediff_1998";"*anneedediff_1999";"*anneedediff_2000";"*anneedediff_2001";"*anneedediff_2002";"*anneedediff_2004";"*anneedediff_2005";"*anneedediff_2006";"*anneedediff_2007";"*anneedediff_2008";"*anneedediff_2009";"*anneedediff_2010";"*anneedediff_2011";"*anneedediff_2012";"*anneedediff_2013";"*anneedediff_2014";"*anneedediff_2015";"*anneedediff_2016";"*anneedediff_2017";"*anneedediff_2018";"*anneedediff_2019";"*anneedediff_2020";"*anneedediff_2021";"*anneedediff_2022";"*anneedediff_2023"
"robin";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;28;1;2;47;82;0
"vol";0;0;0;0;0;0;0;0;0;1;0;7;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"belhousse";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15
"35";0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;2;2;0;2;0;9
"consacrer";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;1;1;0;0;5;4;0;0;2;1;0
"témoin";0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;3;0;1;0;0;0;0;14;0;4;1;1
"mystère";0;0;1;0;0;0;0;0;0;1;2;2;0;0;0;0;0;1;0;2;4;1;0;1;0;1;0;1
"kelly";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;11;0;0;0;0
"hôpital";0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;1;0;0;2;0;0;0;1;0;1;0;0
"retrouver";1;0;1;0;0;0;4;0;0;1;0;13;0;0;6;6;3;2;3;6;3;2;5;1;2;3;3;0
"couple";0;0;0;0;0;0;0;0;0;0;1;0;0;0;14;0;3;0;0;0;0;0;1;0;0;0;0;1
"victime";0;0;0;0;1;0;0;0;0;0;0;2;0;1;4;3;1;0;1;0;1;1;0;0;0;0;0;0
"d";0;1;14;6;16;4;13;2;8;36;12;44;41;9;82;27;92;35;41;36;25;49;138;45;38;222;266;147
"personnalité";0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;1;0;1;0;0;2;2;1;0;0;0
"alexandre";0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;15;0;0;0;0
"frère";0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;1;0;0;1;1;2;0;0;1;2;2;0;3
"t";0;0;0;3;0;1;0;0;0;1;0;1;0;0;1;0;0;1;0;4;1;0;4;0;0;5;2;4
"directeur";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;3;0;0;0;2;1;2;0;1;8;0;2
