"V1";"V2";"V3";"V4";"V5";"V6"
" 9";" 13";" 69.23";"23.89";"ce";"1.021419e-06"
" 9";" 13";" 69.23";"23.89";"dire";"1.021419e-06"
" 5";"  5";"100.00";"23.20";"elles";"1.460644e-06"
" 8";" 11";" 72.73";"22.99";"plus";"1.631781e-06"
" 7";"  9";" 77.78";"22.36";"aux";"2.261516e-06"
"33";" 96";" 34.38";"20.91";"le";"4.803746e-06"
"10";" 17";" 58.82";"19.99";"qui";"7.790711e-06"
" 8";" 12";" 66.67";"19.87";"se";"8.271850e-06"
" 7";" 10";" 70.00";"18.84";"pouvoir";"1.419576e-05"
" 4";"  4";"100.00";"18.53";"comme";"1.671369e-05"
" 4";"  4";"100.00";"18.53";"o";"1.671369e-05"
" 4";"  4";"100.00";"18.53";"elle";"1.671369e-05"
" 4";"  4";"100.00";"18.53";"57";"1.671369e-05"
" 4";"  4";"100.00";"18.53";"hors";"1.671369e-05"
" 4";"  4";"100.00";"18.53";"32";"1.671369e-05"
" 5";"  6";" 83.33";"17.72";"qu";"2.563835e-05"
" 5";"  6";" 83.33";"17.72";"où";"2.563835e-05"
" 5";"  6";" 83.33";"17.72";"2020";"2.563835e-05"
"15";" 34";" 44.12";"16.88";"avoir";"3.990871e-05"
" 9";" 16";" 56.25";"16.50";"ne";"4.868007e-05"
" 3";"  3";"100.00";"13.88";"vouloir";"1.951159e-04"
" 3";"  3";"100.00";"13.88";"to";"1.951159e-04"
" 3";"  3";"100.00";"13.88";"sans";"1.951159e-04"
" 3";"  3";"100.00";"13.88";"quelle";"1.951159e-04"
" 3";"  3";"100.00";"13.88";"alors";"1.951159e-04"
" 3";"  3";"100.00";"13.88";"2017";"1.951159e-04"
" 3";"  3";"100.00";"13.88";"personne";"1.951159e-04"
" 3";"  3";"100.00";"13.88";"contre";"1.951159e-04"
" 3";"  3";"100.00";"13.88";"2022";"1.951159e-04"
" 3";"  3";"100.00";"13.88";"pourquoi";"1.951159e-04"
" 3";"  3";"100.00";"13.88";"moins";"1.951159e-04"
" 3";"  3";"100.00";"13.88";"lui";"1.951159e-04"
" 3";"  3";"100.00";"13.88";"ici";"1.951159e-04"
" 3";"  3";"100.00";"13.88";"ailleurs";"1.951159e-04"
" 3";"  3";"100.00";"13.88";"35";"1.951159e-04"
" 3";"  3";"100.00";"13.88";"22";"1.951159e-04"
" 3";"  3";"100.00";"13.88";"2009";"1.951159e-04"
" 3";"  3";"100.00";"13.88";"voici";"1.951159e-04"
" 3";"  3";"100.00";"13.88";"car";"1.951159e-04"
" 3";"  3";"100.00";"13.88";"leur";"1.951159e-04"
" 3";"  3";"100.00";"13.88";"deux";"1.951159e-04"
" 3";"  3";"100.00";"13.88";"80";"1.951159e-04"
" 3";"  3";"100.00";"13.88";"42";"1.951159e-04"
" 7";" 12";" 58.33";"13.67";"s";"2.180347e-04"
" 4";"  5";" 80.00";"13.28";"tous";"2.683801e-04"
" 4";"  5";" 80.00";"13.28";"2013";"2.683801e-04"
" 4";"  5";" 80.00";"13.28";"15";"2.683801e-04"
" 4";"  5";" 80.00";"13.28";"je";"2.683801e-04"
" 4";"  5";" 80.00";"13.28";"ces";"2.683801e-04"
" 4";"  5";" 80.00";"13.28";"2016";"2.683801e-04"
" 4";"  5";" 80.00";"13.28";"autres";"2.683801e-04"
" 4";"  5";" 80.00";"13.28";"falloir";"2.683801e-04"
" 4";"  5";" 80.00";"13.28";"36";"2.683801e-04"
"10";" 21";" 47.62";"13.12";"il";"2.926643e-04"
